"","item","y1","y2","y3","y4"
"M","M","0.2","0.2","0.2","0.2"
"Tier","Tier","3a","3a","3a","3a"
"Projected total (3+) biomass (t)","Projected total (3+) biomass (t)","473,527","450,679","450,679","439,806"
"Projected Female spawning biomass (t)","Projected Female spawning biomass (t)","NA","NA","NA","99,482"
"B100%","B100%","178,425","178,425","178,425","172,881"
"B40%","B40%","71,370","71,370","71,370","69,152"
"B35%","B35%","62,449","62,449","62,449","60,508"
"FOFL","FOFL","0.09","0.09","0.09","0.09"
"maxFABC","maxFABC","0.08","0.08","0.08","0.08"
"FABC","FABC","0.08","0.08","0.08","0.08"
"OFL (t)","OFL (t)","35,503","33,451","33,451","31,217"
"maxABC (t)","maxABC (t)","30,567","28,799","28,799","26,904"
"ABC (t)","ABC (t)","30,567","28,799","28,799","26,904"
"blank","blank","no",NA,NA,NA
"Status","Status","2022","no","no","no"
"Overfishing","Overfishing",NA,"no","no","no"
"Overfished","Overfished",NA,NA,NA,NA
"Approaching Overfished","Approaching Overfished",NA,NA,NA,NA
